text,label
නියම සිංහල මහත්මයෙක්.,joy
අන්න මිනිස්සු...,joy
හොරා හොද මිනිහෙක් නම් අනේ මහත්තයෝ සමාවෙන්න කියලා කියාවි. නරක මිනිහෙක් නම් ළගදීම ගෙදරට හොද සුද්ධ කිරීමක් වේවි.,anger
"බතල වැලට, කොස්ගෙඩි අටට, උසාවි ගිහින් රිමන්ඩ් කරන යුගයක් මේක.",disgust
"ගොවි මහත්තයාගේ ගෙවත්තේ ලබු වැලේ ගෙඩි 50ක් පමණ හැදේවි, ඒ මහතාගේ කුසගින්න නිවාගන්න... ! ඔබ කළ දේ හරි..!",joy
"වන සිවුපාවන් වැනි මිනිසුන් මද දෙවි දේවතාවුන් වැනි මිනිසුන් ඇත . ඒ දේවතාවන් , දිව්‍යන්ගනාවන් මේ ලෝ තලයේ වාසනාවන් . ගීතයෙන් කියවෙන්නේ ඔබ වැනි අය ගැනයි .",joy
අයියෝ සල්ලි,disgust
අනේ මටත් හිතෙනවා ඒ හරියෙන් ම ගෙයක් හදාගන්න.. දෙන්න දෙන්න ලැබෙනවා කියලා කියමනක් තියෙනවානේ..,joy
දීය යුතු දඩුවම ලබු ගෙඩියේ අයිතිකරු විසින් ලබා දී ඇත. සොරාගත් අයට මෙය මතක ඇති තාක් කල් මානසික නිදහසක් නැහැ.,disgust
"උපුල්, පහන්, ඔබලාට ස්තූතියි.",joy
ලබු ඕනෑවට වඩා කෑමෙන් ශරීරයේ ඇට මෙලෙක් වෙනවා. බොහොම පරිස්සමින් හොදේ.....,fear
ඒ මනුෂ්‍යයා හොඳ කෙනෙක්.. හරිදේ ඒකයි... පින්වැඩි කමට තව තව ලබු වැඩියෙන් හැදෙයි...මේකෙන් හොරාත් හැදෙයි. ලබු අයිතිකරුට දෙවියන්ගේ ආශිර්වාදය ලැබේවා..! දෙන තරමට තමයි ලැබෙන්නේ..,joy
හිතහොද මනුස්සයෙක්.,joy
හොරු බෝ කරන කෙනෙක්.,disgust
නිමල් වගේ අය තමයි පොල් ගෙඩියටත් උසාවි යන්නේ... මිනිසුන් ගැන ඔයිට වඩා හිතන්න ඕන. අපි කවුරුත් යනකොට මොනවත් අරන් යන්නේ නෑ. ඉන්නකං අනිත් අයට උපකාර කරන්න ඕන. මේක ආදර්ශයට ගත යුතු ක්‍රියාවක්...,disgust
නෑ නිමල් මහත්තයා.. එයා අයිත් හොරකම් කරන එකක් නැ... එයාට නියම දඬුවම තමයි දුන්නේ. ගහන බනින ක්‍රමයට වඩා ඒක හොඳයි...,joy
කාටත් හොද වටිනා ආදර්ශයක්,joy
හිත හොද වැඩි උනාමත් ප්‍රශ්න,sadness
"අකුරස්ස පැත්තෙ ගමක මහත්තයෙකුට රට රැකියාවක් ලැබිලා ගියාලු. ගිය දවසෙ ඉදලා මහත්තයාගෙ යාලුවාගෙන් නෝනට අයුතු යෝජනා එනවලු. මේකට විසදුමක් හොයලා නොලැබුන තැන නෝනා ඒ යාලුවටම කතා කරලා ඇහුවලු ""මෙහෙම වනචරයෙක්ගෙන් මට කරදරයි ඒකට මොනවද කරන්නේ"" කියලා. මම කියපු දේ තේරුනාද මන්දා?",disgust
ඉතින් ඒ මනුස්සයාපුදුම මනුස්සයෙක්,surprise
එල්ලා මරන්න නියම කරන්න කාගේ උනත් ජීවිතයක්..,anger
මිනී මැරීමට තැත් කිරීම එල්ලුම් ගහ හිමිවන වරදක්... වැරදි කරුවනට දඬුවම් ලැබේවා...!,anger
මේ වැඩේට උපරිම දඩුවම් දෙන්න ඕනේ,anger
හිතක් පපුවක් නැති මිනිස්සු,sadness
ඉතා හොදයි,joy
මේ වරදටනම් උපරිම දඩුවම් දෙන්න ඕනේ,anger
මේ පුද්ගලයා වෙදකමට කොහෙත්ම සුදුසු නැහැ. ිනයම වෛද්‍යවරයා බෝසත් ගුණවලින් පිරිපුන් කෙනෙක් විය යුතු නිදා,disgust
අනේ මන්දා මෙහෙමත් අජාසත්තලා.,disgust
ඇයි මිනිස්සු දැන දැන වැරදි කරන්නේ ? කවදා හරි ඇත්ත එළිවේවි.,sadness
මේ වගේ දේවල් කරන අයගේ රෙදි ගලවලා උසාවි යවන්න ඕනේ.,anger
මේ අපේ රටේද ?,surprise
මේවට උපරිම දඩුවම් දෙන්න.,anger
වෛරයෙන් වෛරය නොසන්සිදේ. වැරදි කරුවන්ට නිසි දඩුවම් දෙන්න.,anger
දැන් ලංකාව බෞද්ද රටක් කියල හැම කෙනෙන්ක්ටම ඕනෑම දෙයක් කරලා අවරුදු 5 විතර හිරේ දාල නිදහස් කරනවා . මමනම් කියන්නේ මේවගේ වැරදිවලට මේ තුන්දෙනාවත් බස්සන ඕනෙ ඇසිඩ් බැරල් එකකකට පණපිටින්. බොරුවට මුන්ව හිරේ දාල අපේ අදායම් බදු වලින් මුන්ට කන්න දෙන්න හොද නැහැ.,anger
මෙයාට නීතියෙන් නැතත් ජනතාවගෙන් දඩුවම් ලැබේවි.,anger
මේ අයට උපරිමයෙන් දඬුවම් දෙන්න.,anger
ඇසිඩ් වලින්ම මරණයට පත්කළ යුතුයි.,anger
බලන්න ලංකාවේ තියෙන සමානාත්මතාවය වෙන කොහේවත් තියෙනවද කියලා?,joy
අයෙක් නසා තම දියුණුව පැතූ මොවුන්ට නීතියෙන් කෙසේවෙතත් ඇතුළේ අයගෙන් නම් නිසි දඩුවම් ලැබෙයි.,disgust
මේ මිනිසුන් මෙවැනි දේවල් කරලා අන්තිමේ මොනවද ලබන්නේ?,disgust
මෙයාලට උපරිම දඩුවම් දෙන්න.,anger
බුරුලක් දෙන්න එපා,anger
දැන් ලංකාවේ බටහිර වෛද්‍යවරුන්ට වඩා ආයුර්වේද වෛද්‍යවරුන් පිරිහිලා.,disgust
අනික් අයටත් දැන ගන්න උපරිම දඬුවම් දෙන්න ...,anger
මෙන්න ලංකාව උතුම් යැයි මොරදෙන්නන්ට හොද කණේ පහරක්.,anger
අන් අය දිහා වැරදි විදියට බලන්න ප්‍රථම තමන්ගේ වැරදි හදුනාගන්න මිනිසුනේ.,anger
බය නැතිව කරනවානේ මේවා,disgust
බුරුලක් දෙන්නම එපා,anger
දැඩි දඩුවම් දෙන්න,anger
